temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
40,0.010856686155458772,25.871365222446023,25.832594583400592,15,0.75,0,811
41,0.010313851847685832,25.8353393638747,25.832594583400592,11,0.55,0,831
42,0.00979815925530154,25.842237388922047,25.832594583400592,8,0.4,0,851
43,0.009308251292536462,25.83492714722381,25.832594583400592,8,0.4,0,871
44,0.00884283872790964,25.854348237850452,25.832594583400592,10,0.5,0,891
45,0.008400696791514157,25.826452480040235,25.82578599159458,7,0.35,2,911
46,0.007980661951938448,25.8359940801908,25.82578599159458,9,0.45,0,931
47,0.0075816288543415255,25.845388170387192,25.82578599159458,9,0.45,0,951
48,0.007202547411624449,25.842548766890566,25.82578599159458,14,0.7,0,971
49,0.006842420041043226,25.840463579292035,25.82578599159458,10,0.5,0,991
50,0.006500299038991065,25.829474863842293,25.82578599159458,10,0.5,0,1011
51,0.006175284087041512,25.84054683123347,25.82534446270545,7,0.35,1,1031
52,0.005866519882689436,25.836160839570834,25.82534446270545,7,0.35,0,1051
53,0.005573193888554964,25.83285027547019,25.82534446270545,9,0.45,0,1071
54,0.005294534194127215,25.831338531324594,25.82534446270545,12,0.6,0,1091
55,0.005029807484420854,25.827645026007854,25.82534446270545,8,0.4,0,1111
56,0.004778317110199811,25.829935232512344,25.824185265085564,5,0.25,1,1131
57,0.00453940125468982,25.823366940114216,25.82124784886284,10,0.5,2,1151
58,0.004312431191955329,25.812482099604964,25.811809557165827,8,0.4,3,1171
59,0.004096809632357562,25.816752207877762,25.80941712941044,7,0.35,1,1191
60,0.0038919691507396837,25.8176826645979,25.80941712941044,5,0.25,0,1211
61,0.0036973706932026994,25.80985142914663,25.80941712941044,9,0.45,0,1231
62,0.0035125021585425643,25.811658170547798,25.808726033070577,7,0.35,1,1251
63,0.003336877050615436,25.818271053980183,25.808726033070577,4,0.2,0,1271
64,0.003170033198084664,25.81607995437246,25.808726033070577,7,0.35,0,1291
65,0.003011531538180431,25.82041337506221,25.808726033070577,5,0.25,0,1311
66,0.002860954961271409,25.811145496627578,25.808726033070577,10,0.5,0,1331
67,0.0027179072132078384,25.81074945374307,25.808726033070577,4,0.2,0,1351
68,0.002582011852547446,25.813907348229204,25.808726033070577,5,0.25,0,1371
69,0.0024529112599200736,25.817544338269588,25.808726033070577,8,0.4,0,1391
70,0.00233026569692407,25.811706350211708,25.808726033070577,8,0.4,0,1411
71,0.0022137524120778664,25.813986508993924,25.808726033070577,6,0.3,0,1431
72,0.002103064791473973,25.81166385864077,25.808726033070577,4,0.2,0,1451
73,0.0019979115519002744,25.81288124978566,25.808726033070577,3,0.15,0,1471
74,0.0018980159743052607,25.81466103566193,25.808726033070577,6,0.3,0,1491
75,0.0018031151755899975,25.81693801129248,25.808726033070577,7,0.35,0,1511
76,0.0017129594168104976,25.81351673244975,25.808726033070577,6,0.3,0,1531
77,0.0016273114459699725,25.81397709591258,25.808726033070577,10,0.5,0,1551
78,0.0015459458736714739,25.811666724394016,25.808726033070577,6,0.3,0,1571
79,0.0014686485799879,25.812381824509142,25.808726033070577,4,0.2,0,1591
80,0.001395216150988505,25.811780006302108,25.808726033070577,5,0.25,0,1611
81,0.0013254553434390798,25.812206006211973,25.808726033070577,4,0.2,0,1631
