temperature_step,temperature,current_energy,best_energy,accepted,acceptance_rate,new_bests,blackbox_calls
41,0.0030578724194728854,8.155485407369664,8.155485407369664,20,1.0,1,831
42,0.0030272936952781566,8.153886645761679,8.153773081829028,18,0.9,1,851
43,0.002997020758325375,8.151087924429937,8.151087924429937,14,0.7,2,871
44,0.0029670505507421213,8.150181803522752,8.150181803522752,17,0.85,1,891
45,0.0029373800452347,8.150181803522752,8.150181803522752,16,0.8,0,911
46,0.002908006244782353,8.14996310259884,8.14996310259884,14,0.7,1,931
47,0.0028789261823345294,8.14996310259884,8.14996310259884,18,0.9,0,951
48,0.0028501369205111843,8.150117876406279,8.14996310259884,15,0.75,0,971
49,0.0028216355513060723,8.14988413484562,8.14988413484562,14,0.7,1,991
50,0.0027934191957930117,8.14988413484562,8.14988413484562,13,0.65,0,1011
51,0.0027654850038350814,8.143964637898849,8.143964637898849,16,0.8,1,1031
52,0.0027378301537967307,8.144199327825135,8.143964637898849,13,0.65,0,1051
53,0.0027104518522587636,8.148558780616398,8.143964637898849,17,0.85,0,1071
54,0.002683347333736176,8.144412967466222,8.143964637898849,17,0.85,0,1091
55,0.002656513860398814,8.143944145312865,8.143944145312865,15,0.75,1,1111
56,0.0026299487217948257,8.149337911845741,8.143944145312865,16,0.8,0,1131
57,0.0026036492345768774,8.150532736639244,8.143944145312865,16,0.8,0,1151
58,0.0025776127422311086,8.151965744249903,8.143944145312865,12,0.6,0,1171
59,0.0025518366148087977,8.153110845963704,8.143944145312865,16,0.8,0,1191
60,0.0025263182486607097,8.135799393948119,8.135766723509878,15,0.75,3,1211
61,0.0025010550661741025,8.135869355707952,8.135766723509878,16,0.8,0,1231
62,0.0024760445155123613,8.133806165396999,8.133806165396999,19,0.95,2,1251
63,0.0024512840703572376,8.094683834842646,8.094683834842646,18,0.9,3,1271
64,0.0024267712296536653,8.094735548226357,8.094683834842646,15,0.75,0,1291
65,0.0024025035173571288,8.068575869385437,8.068575869385437,17,0.85,1,1311
66,0.0023784784821835572,8.068524156001727,8.068524156001727,17,0.85,1,1331
67,0.0023546936973617215,8.06676764948446,8.06676764948446,19,0.95,2,1351
68,0.002331146760388104,8.064607864823293,8.064607864823293,17,0.85,2,1371
69,0.002307835292784223,8.064875631614555,8.064607864823293,14,0.7,0,1391
70,0.002284756939856381,8.064849963173383,8.064607864823293,17,0.85,0,1411
71,0.002261909370457817,8.064849963173383,8.064607864823293,16,0.8,0,1431
72,0.002239290276753239,8.067210575910147,8.064607864823293,16,0.8,0,1451
73,0.0022168973739857063,8.065682413819214,8.064607864823293,16,0.8,0,1471
74,0.0021947284002458494,8.065682413819214,8.064607864823293,17,0.85,0,1491
75,0.0021727811162433907,8.065682413819214,8.064607864823293,18,0.9,0,1511
76,0.0021510533050809566,8.065682413819214,8.064607864823293,16,0.8,0,1531
77,0.002129542772030147,8.065682413819214,8.064607864823293,15,0.75,0,1551
78,0.0021082473443098456,8.066056445412691,8.064607864823293,14,0.7,0,1571
79,0.002087164870866747,8.065426813857393,8.064607864823293,15,0.75,0,1591
80,0.0020662932221580796,8.065141990491211,8.064607864823293,15,0.75,0,1611
81,0.0020456302899364985,8.065141990491211,8.064607864823293,12,0.6,0,1631
82,0.0020251739870371334,8.065141990491211,8.064607864823293,18,0.9,0,1651
83,0.002004922247166762,8.064954136468453,8.064607864823293,17,0.85,0,1671
