node_id,name,bus,groups,group,group_labels,station_nc,jurisdiction,v_nom_kv,latitude,longitude,membership_count,source
37,Garrow,2771,"(9, 17, 23, 24, 26, 31, 40)",9,IE-W-2|IE-SW-1|IE-SW-5|IE-SW-6|IE-SW-8|IE-SE-2|IE-ALL,GARROW,IE,110.0,52.0026938,-9.131237,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
38,Garvagh,2671,"(3, 4, 5, 7, 8, 9, 36, 39, 40)",3,IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-7|IE-W-1|IE-W-2|NI-1|NI-5|IE-ALL,GARVAGH,IE,110.0,54.1504588,-8.1924874,9,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
39,Glanlee,2731,"(9, 17, 23, 26, 31, 40)",9,IE-W-2|IE-SW-1|IE-SW-5|IE-SW-8|IE-SE-2|IE-ALL,GLANLEE,IE,110.0,51.925463,-9.3067693,6,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
40,Glenlara,2881,"(9, 19, 20, 21, 40)",9,IE-W-2|IE-SW-3A|IE-SW-3B|IE-SW-3C|IE-ALL,GLENLARA,IE,110.0,52.2053487,-9.023808,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
41,Glenree,4371,"(3, 4, 5, 8, 9, 13, 15, 40)",3,IE-NW-3|IE-NW-4|IE-NW-5|IE-W-1|IE-W-2|IE-W-6|IE-W-8|IE-ALL,GLENREE,IE,110.0,54.1053454,-8.9893244,8,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
42,Great Island,2741,"(30, 40)",30,IE-SE-1|IE-ALL,GREAT ISLAND,IE,110.0,52.2815845,-6.99172,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
43,Ikerrin,3101,"(8, 9, 16, 31, 40)",8,IE-W-1|IE-W-2|IE-W-9|IE-SE-2|IE-ALL,IKERRIN,IE,110.0,52.91857,-7.7713595,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
44,Kilcumber,1671,"(32, 40)",32,IE-SE-3|IE-ALL,KILCUMBER,IE,110.0,53.2901576,-7.092703,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
45,Kill Hill,2391,"(8, 9, 16, 29, 31, 40)",8,IE-W-1|IE-W-2|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,KILL HILL,IE,110.0,52.5172741,-7.8209426,6,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
46,Kilpaddoge,3461,"(9, 17, 40)",9,IE-W-2|IE-SW-1|IE-ALL,KILPADDOGE,IE,110.0,52.5801792,-9.3963977,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
47,Knockacummer,3391,"(9, 19, 20, 21, 40)",9,IE-W-2|IE-SW-3A|IE-SW-3B|IE-SW-3C|IE-ALL,KNOCKACUMMER,IE,110.0,52.2595355,-9.1006362,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
48,Knockalough,2171,"(8, 9, 10, 40)",8,IE-W-1|IE-W-2|IE-W-3|IE-ALL,KNOCKALOUGH,IE,110.0,53.3058138,-9.2491169,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
49,Knockearagh,3301,"(9, 17, 23, 26, 40)",9,IE-W-2|IE-SW-1|IE-SW-5|IE-SW-8|IE-ALL,KNOCKEARAGH,IE,110.0,52.0764652,-9.4387403,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
50,Lenalea,3591,"(1, 3, 4, 5, 6, 9, 40)",1,IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,LENALEA,IE,110.0,54.9028813,-7.8642829,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
51,Lisheen,3621,"(8, 9, 12, 16, 29, 31, 40)",8,IE-W-1|IE-W-2|IE-W-5|IE-W-9|IE-SW-11|IE-SE-2|IE-ALL,LISHEEN,IE,110.0,52.7513555,-7.6819128,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
52,Macroom,3881,"(9, 17, 23, 31, 40)",9,IE-W-2|IE-SW-1|IE-SW-5|IE-SE-2|IE-ALL,MACROOM,IE,110.0,51.8957884,-8.8921962,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
53,Meentycat,4071,"(2, 3, 4, 5, 6, 9, 40)",2,IE-NW-2|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,MEENTYCAT,IE,110.0,54.8676656,-7.842446,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
54,Midleton,3801,"(9, 31, 40)",9,IE-W-2|IE-SE-2|IE-ALL,MIDLETON,IE,110.0,51.9376618,-8.1872013,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
55,Moneypoint,3941,"(8, 9, 17, 40)",8,IE-W-1|IE-W-2|IE-SW-1|IE-ALL,MONEYPOINT,IE,110.0,52.6103965,-9.4216875,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
56,Mount Lucas,2401,"(32, 40)",32,IE-SE-3|IE-ALL,MOUNT LUCAS,IE,110.0,53.262337,-7.2520289,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
57,Moy,4041,"(3, 4, 8, 9, 13, 14, 15, 40)",3,IE-NW-3|IE-NW-4|IE-W-1|IE-W-2|IE-W-6|IE-W-7|IE-W-8|IE-ALL,MOY,IE,110.0,54.1232614,-9.1879038,8,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
58,Mulreavy,4091,"(3, 4, 5, 6, 9, 40)",3,IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,MULREAVY,IE,110.0,54.6644867,-7.9692346,6,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
59,Oughtragh,4361,"(9, 17, 40)",9,IE-W-2|IE-SW-1|IE-ALL,OUGHTRAGH,IE,110.0,52.136625,-9.6927788,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
60,Rathkeale,4681,"(8, 9, 17, 18, 40)",8,IE-W-1|IE-W-2|IE-SW-1|IE-SW-2|IE-ALL,RATHKEALE,IE,110.0,52.5436993,-8.9685536,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
61,Ratrussan,4781,"(34, 40)",34,IE-NE-1|IE-ALL,RATRUSSAN,IE,110.0,54.0013256,-7.1060697,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
62,Reamore,3251,"(9, 17, 40)",9,IE-W-2|IE-SW-1|IE-ALL,REAMORE,IE,110.0,52.302124,-9.5436255,3,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
63,Rosspile,5451,"(30, 40)",30,IE-SE-1|IE-ALL,ROSSPILE,IE,110.0,52.3018955,-6.7423279,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
64,Salthill,4951,"(8, 9, 10, 40)",8,IE-W-1|IE-W-2|IE-W-3|IE-ALL,SALTHILL,IE,110.0,53.2741041,-9.0793907,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
65,Shankill,4961,"(34, 40)",34,IE-NE-1|IE-ALL,SHANKILL,IE,110.0,53.9987866,-7.2988808,2,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
66,Sliabh Bawn,66094,"(4, 5, 8, 9, 40)",4,IE-NW-4|IE-NW-5|IE-W-1|IE-W-2|IE-ALL,SLIABH BAWN,IE,110.0,53.7511805,-8.0518963,5,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
67,Slieve Callan,23610,"(8, 9, 17, 40)",8,IE-W-1|IE-W-2|IE-SW-1|IE-ALL,SLIEVECALLAN,IE,110.0,52.8288117,-9.2836999,4,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
68,Sligo,4981,"(3, 4, 5, 8, 9, 40)",3,IE-NW-3|IE-NW-4|IE-NW-5|IE-W-1|IE-W-2|IE-ALL,SLIGO,IE,110.0,54.2412252,-8.4672217,6,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
69,Sorne Hill,4991,"(1, 3, 4, 5, 6, 9, 40)",1,IE-NW-1|IE-NW-3|IE-NW-4|IE-NW-5|IE-NW-6|IE-W-2|IE-ALL,SORNE HILL,IE,110.0,55.1313547,-7.3684232,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
70,Srahnakilly,14013,"(4, 8, 9, 13, 14, 15, 40)",4,IE-NW-4|IE-W-1|IE-W-2|IE-W-6|IE-W-7|IE-W-8|IE-ALL,SRAHNAKILLY,IE,110.0,54.1205007,-9.5787377,7,EirGrid/SONI WDT Constraint Group Overview 2024-02-01
