osm_type,osm_id,osm_name,osm_name_normalised,osm_lat,osm_lon,osm_voltage,osm_substation,osm_operator,osm_ref,osm_location,osm_url
node,12292561307,Fairmeadow Close Herbrandston Substation,fairmeadow close herbrandston substation,51.7289355,-5.0857603,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561307
node,12292561736,Hayston Avenue Hakin Substation,hayston avenue hakin substation,51.7105578,-5.0473059,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561736
node,12292561747,Dry Dock Substation,dry dock substation,51.7093443,-5.0393616,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561747
node,12292561763,Texaco Centre Milford Haven Substation,texaco centre milford haven substation,51.7130126,-5.0434279,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561763
node,12292561776,Hakinville Substation,hakinville substation,51.7093833,-5.0434185,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561776
node,12292561799,Lodge Farm Wind Turbine Substation,lodge farm wind turbine substation,51.7259895,-5.0630739,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561799
node,12292561800,Windturbine 2 Lodge Farm Substation,windturbine 2 lodge farm substation,51.7251627,-5.0580069,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561800
node,12292561897,Court Rise Hubberston Substation,court rise hubberston substation,51.7160545,-5.0526399,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561897
node,12292561928,Hubberston Residential Substation,hubberston residential substation,51.7183228,-5.0599478,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561928
node,12292561932,Haven Drive Hakin Substation,haven drive hakin substation,51.7116255,-5.0576506,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,,https://www.openstreetmap.org/node/12292561932
