name,psse_name,station,v_nom,search_name,candidate_rank,text_score,combined_score,voltage_match,review_status,osm_name,osm_lon,osm_lat,osm_voltage,osm_substation,osm_operator,osm_ref,osm_type,osm_id,osm_url,x,y,geocode_method,reason,search_name_normalised,osm_location
22861,DALT_CAP,DALT,110.0,DALT,2,77.1,77.1,False,possible candidate - manual review,Dalkey DART Substation,-6.101731,53.2751899,38000,traction,Irish Rail,,way,409181485,https://www.openstreetmap.org/way/409181485,0.0,0.0,,"coordinates are (0, 0)",dalt,
22861,DALT_CAP,DALT,110.0,DALT,3,77.1,77.1,False,possible candidate - manual review,Dalkey DART Substation,-6.1012869,53.275076,38000,traction,Irish Rail,,way,409181486,https://www.openstreetmap.org/way/409181486,0.0,0.0,,"coordinates are (0, 0)",dalt,
22861,DALT_CAP,DALT,110.0,DALT,4,77.1,87.1,True,possible candidate - voltage agrees,Dallow 110kV Substation,-7.928076,53.1259869,110000;38000,transmission,EirGrid,,way,513993739,https://www.openstreetmap.org/way/513993739,0.0,0.0,,"coordinates are (0, 0)",dalt,
22861,DALT_CAP,DALT,110.0,DALT,5,67.5,77.5,True,possible candidate - voltage agrees,Midleton 110kV Substation,-8.1872013,51.9376618,110000;38000;10000,transmission,EirGrid,,way,243018345,https://www.openstreetmap.org/way/243018345,0.0,0.0,,"coordinates are (0, 0)",dalt,
23019,DUNFIR_T,DUNFIR_T,110.0,DUNFIR_T,1,81.8,91.8,True,possible candidate - voltage agrees,Dunfierth 110kV Substation,-6.8293304,53.3880882,110000;20000,transmission,EirGrid,,way,266499715,https://www.openstreetmap.org/way/266499715,0.0,0.0,,"coordinates are (0, 0)",dunfir,
23019,DUNFIR_T,DUNFIR_T,110.0,DUNFIR_T,2,65.5,65.5,False,possible candidate - manual review,Dundrum Luas Substation,-6.2445799,53.2920974,38000,traction,Luas - Transdev Dublin Light Rail Limited,,node,4261767086,https://www.openstreetmap.org/node/4261767086,0.0,0.0,,"coordinates are (0, 0)",dunfir,underground
23019,DUNFIR_T,DUNFIR_T,110.0,DUNFIR_T,3,65.5,65.5,False,possible candidate - manual review,Dundrum 38 kV Substation,-6.2444191,53.2924318,38000,distribution,ESB Networks,,way,426920123,https://www.openstreetmap.org/way/426920123,0.0,0.0,,"coordinates are (0, 0)",dunfir,
23019,DUNFIR_T,DUNFIR_T,110.0,DUNFIR_T,4,65.5,65.5,False,possible candidate - manual review,Dunsink 38 kV Substation,-6.3404386,53.3884865,38000,generation,ESB Networks,,way,1419065112,https://www.openstreetmap.org/way/1419065112,0.0,0.0,,"coordinates are (0, 0)",dunfir,
23019,DUNFIR_T,DUNFIR_T,110.0,DUNFIR_T,5,65.5,65.5,False,possible candidate - manual review,Dungiven 33kV Substation,-6.9095624,54.9393763,33000,distribution,NIE Networks,,way,681652388,https://www.openstreetmap.org/way/681652388,0.0,0.0,,"coordinates are (0, 0)",dunfir,
2312,DERRYGREENAG,DERRYGREENAG,220.0,DERRYGREENAG,1,66.3,66.3,False,possible candidate - manual review,Derrynadivva 38 kV Substation,-9.3392795,53.9056705,38000,generation,ESB Networks,,way,223191720,https://www.openstreetmap.org/way/223191720,0.0,0.0,,"coordinates are (0, 0)",derrygreenag,
2312,DERRYGREENAG,DERRYGREENAG,220.0,DERRYGREENAG,2,63.0,63.0,False,possible candidate - manual review,Derrycramph 38 kV Substation,-7.3833437,53.9793134,38000,distribution,ESB Networks,,way,489576435,https://www.openstreetmap.org/way/489576435,0.0,0.0,,"coordinates are (0, 0)",derrygreenag,
2312,DERRYGREENAG,DERRYGREENAG,220.0,DERRYGREENAG,3,63.0,63.0,False,possible candidate - manual review,Derrybeg 38kV Substation,-8.2839237,55.0631063,38000,distribution,ESB Networks,,way,201441217,https://www.openstreetmap.org/way/201441217,0.0,0.0,,"coordinates are (0, 0)",derrygreenag,
2312,DERRYGREENAG,DERRYGREENAG,220.0,DERRYGREENAG,4,60.0,60.0,False,possible candidate - manual review,Dereen 38 kV Substation,-9.2094125,51.875617,38000,generation,ESB Networks,,way,1355809028,https://www.openstreetmap.org/way/1355809028,0.0,0.0,,"coordinates are (0, 0)",derrygreenag,
2312,DERRYGREENAG,DERRYGREENAG,220.0,DERRYGREENAG,5,60.0,60.0,False,possible candidate - manual review,Derryiron 110 kV Substation,-7.2138473,53.3581344,110000,transmission,EirGrid,,way,219769028,https://www.openstreetmap.org/way/219769028,0.0,0.0,,"coordinates are (0, 0)",derrygreenag,
2481,FASS EAST,FASS EAST,110.0,FASS EAST,1,85.5,85.5,False,good name match - check voltage,East Blockhouse Angle Substation,-5.1190089,51.6817834,11000;400,minor_distribution,National Grid Electricity Distribution Plc,,node,12292556125,https://www.openstreetmap.org/node/12292556125,0.0,0.0,,"coordinates are (0, 0)",fass east,
2481,FASS EAST,FASS EAST,110.0,FASS EAST,2,85.5,95.5,True,strong candidate,Grange Castle East 110kV Cable Compound,-6.4332542,53.3283584,110000,transition,EirGrid,,way,98792229,https://www.openstreetmap.org/way/98792229,0.0,0.0,,"coordinates are (0, 0)",fass east,
