name,psse_name,station,v_nom,x,y,geocode_method,reason,osm_found,osm_lon,osm_lat,osm_display_name,osm_type,osm_category,osm_id,osm_url,review_status
3111,BALLYNABRANN,BALLYNABRANN,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
3181,KILLINSKYDUF,KILLINSKYDUF,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
32060,KNOCKRAHA OF,KNOCKRAHA OF,220.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.3292119,51.9740661,"Knockraha, Municipal District of Cobh, County Cork, Munster, T45 P840, Éire / Ireland",administrative,boundary,6934529.0,https://www.openstreetmap.org/relation/6934529,candidate
33410,BENDINSTOWN,BENDINSTOWN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-6.8152455,52.7698101,"Bendinstown, Rathrush ED, The Municipal District of Tullow, County Carlow, Leinster, Éire / Ireland",administrative,boundary,2202057.0,https://www.openstreetmap.org/relation/2202057,candidate
3361,LAURENCETOWN,LAURENCETOWN,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.1749341,53.2365041,"Laurencetown, Ballinasloe Municipal District, County Galway, Connacht, Éire / Ireland",village,place,52268976.0,https://www.openstreetmap.org/node/52268976,candidate
3441,KILVINOGE,KILVINOGE,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.1286316,52.453622,"Kilvinoge, Castlebanny, The Municipal District of Callan — Thomastown, County Kilkenny, Leinster, Éire / Ireland",administrative,boundary,5380964.0,https://www.openstreetmap.org/relation/5380964,candidate
3481,COOLNANOONAG,COOLNANOONAG,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
3491,LISLEA,LISLEA,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.0847801,54.0648785,"Lislea, Bailieborough-Cootehill Municipal District, County Cavan, Ulster, Éire / Ireland",peak,natural,11925790782.0,https://www.openstreetmap.org/node/11925790782,candidate
3501,LANESBORO_A1,LANESBORO_A1,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
35011,LANESBORO_A2,LANESBORO_A2,110.0,0.0,0.0,,"coordinates are (0, 0)",False,,,,,,,,not found
3511,LICKNY,LICKNY,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.3777318,53.7156157,"Lickny, Coole ED, The Municipal District of Mullingar — Kinnegad, County Westmeath, Leinster, Éire / Ireland",administrative,boundary,4139466.0,https://www.openstreetmap.org/relation/4139466,candidate
3550,COOLNABACKY_,COOLNABACKY_,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.1894178,52.9759837,"Coolnabacky, Timahoe ED, The Municipal District of Graiguecullen — Portarlington, County Laois, Leinster, Éire / Ireland",administrative,boundary,4638762.0,https://www.openstreetmap.org/relation/4638762,candidate
3551,COOLNABACKY,COOLNABACKY,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.1894178,52.9759837,"Coolnabacky, Timahoe ED, The Municipal District of Graiguecullen — Portarlington, County Laois, Leinster, Éire / Ireland",administrative,boundary,4638762.0,https://www.openstreetmap.org/relation/4638762,candidate
3554,COOLNABACKY,COOLNABACKY,380.0,0.0,0.0,,"coordinates are (0, 0)",True,-7.1894178,52.9759837,"Coolnabacky, Timahoe ED, The Municipal District of Graiguecullen — Portarlington, County Laois, Leinster, Éire / Ireland",administrative,boundary,4638762.0,https://www.openstreetmap.org/relation/4638762,candidate
3601,LIBERTY ST,LIBERTY ST,110.0,0.0,0.0,,"coordinates are (0, 0)",True,-8.4789238,51.8981917,"Liberty Street, The Marsh, Centre B ED, Cork, County Cork, Munster, T12 XH42, Éire / Ireland",tertiary,highway,32243374.0,https://www.openstreetmap.org/way/32243374,candidate
