run,demand_mw,renewable_potential_mw,pre_network_dispatch_down_mw,network_group_dispatch_down_mw,security_backstop_dispatch_down_mw,security_thermal_redispatch_mw,total_network_dispatch_down_mw,total_dispatch_down_mw,renewable_accepted_mw,first_group,activation_sequence,represented_security_pass,all_line_n1_pass,worst_base_loading_pct,worst_n1_loading_pct,worst_n1_monitored_line,worst_n1_outage,planned_outage,estimated_line_losses_mw,calibration_residual_mw,calibrated_total_dispatch_down_mw,calibrated_renewable_accepted_mw,physical_dispatch_down_pct_of_case,calibrated_dispatch_down_pct_of_case
41,1147.9388257418914,841.0506449543697,0.0,48.16724137479755,0.0,0.0,48.16724137479755,48.16724137479755,792.883403579572,3.0,G3,True,True,67.92381073126072,99.99997574512909,76810-87510-1,76810-87510-2,Intact,21.450396048272957,261.77282622975474,309.94006760455227,531.1105773498174,5.727032214262295,36.85153438308911
42,1201.0518667723884,578.6837793176331,0.0,0.0,0.0,0.0,0.0,0.0,578.6837793176331,,None,True,True,97.73715139139073,97.73715139147394,74511-82511-1,81010-81011-1,Intact,17.277118676480082,140.29042993503094,140.29042993503094,438.3933493826022,0.0,24.24302096396365
43,1272.4006870837295,775.722022105137,0.0,61.19387229904362,0.0,0.0,61.19387229904362,61.19387229904362,714.5281498060933,2.0,G2 → G3,True,True,97.58462524288032,99.9999732889333,76810-87510-1,76810-87510-2,Intact,22.016184530795552,208.09302757448935,269.286899873533,506.43512223160394,7.888634144094177,34.714355426283795
44,1244.613690267667,262.79526255487826,0.0,0.0,0.0,0.0,0.0,0.0,262.79526255487826,,None,True,True,87.3586776525237,87.35867765253039,72010-83012-2,90011-90012-1,Intact,11.098246947436254,41.28138317171157,41.28138317171157,221.51387938316668,0.0,15.708572053535773
45,1470.4781210307801,193.5300512633428,0.0,0.0,0.0,0.0,0.0,0.0,193.5300512633428,,None,True,False,80.60950843738787,110.09518977620978,74011-74511-1,70510-78511-1,Intact,11.029423583960083,26.83079251131731,26.83079251131731,166.69925875202551,0.0,13.863889528354308
46,1397.549574596733,398.50609862280027,0.0,0.0,0.0,0.0,0.0,0.0,398.50609862280027,,None,True,True,78.03919164792406,90.84958149230332,74011-74511-1,70510-78511-1,Intact,13.004518395679874,66.9877407339185,66.9877407339185,331.5183578888818,0.0,16.809715325668
47,1135.394193408833,230.51414545046552,0.0,0.0,0.0,0.0,0.0,0.0,230.51414545046552,,None,True,True,70.47057609004693,73.77579753031279,74011-74511-1,70510-78511-1,Intact,8.344001708225509,37.320861621851385,37.320861621851385,193.19328382861414,0.0,16.190269603160278
48,1256.7395262041214,436.27462088511874,0.0,0.0,0.0,0.0,0.0,0.0,436.27462088511874,,None,True,False,124.18965932651471,124.18965932651473,86512-90012-2,70520-81020-2,Intact,15.62851509115984,95.28608024981341,95.28608024981341,340.9885406353053,0.0,21.84084878842963
49,1341.012783929936,719.4937954597242,0.0,28.596639180670344,0.0,0.0,28.596639180670344,28.596639180670344,690.8971562790539,1.0,G1,True,False,94.46624904277743,109.38863900141882,74011-74511-1,70510-78511-1,Intact,24.489238896784748,174.87556660765293,203.47220578832327,516.021589671401,3.974549796138044,28.279911108658506
50,1077.188583561586,189.43949291019425,0.0,0.0,0.0,0.0,0.0,0.0,189.43949291019425,,None,True,True,72.68777818234044,89.12987042966678,81010-84011-1,84011-90011-1,Intact,7.491175048760712,32.88650925241162,32.88650925241162,156.55298365778262,0.0,17.35990143723717
