group,group_name,asset_index,asset,bus,market_bucket,mec_mw,latitude,longitude
4,All NI,35,Eglish Wind Farm,81810,wind,15.0,54.891013,-7.214017
4,All NI,36,Eshmore Wind Farm,90210,wind,7.05,54.539272,-6.983297
4,All NI,37,Glenbuck Wind Farm,87900,wind,9.2,54.982495,-6.427593
4,All NI,38,Gortfinbar Wind Farm,90210,wind,15.0,54.544627,-7.027095
4,All NI,39,Long Mountain Wind Farm,87900,wind,27.6,54.982585,-6.417873
4,All NI,40,Altamuskin Wind Farm,80710,wind,14.1,54.518506,-7.106656
4,All NI,41,Crockandun Wind Farm,75810,wind,15.0,54.7413,-6.78232
4,All NI,42,Crockbaravally Wind Farm,90210,wind,7.5,54.516883,-7.03685
4,All NI,43,Lisburn Solar Park (Ballinderry Road),70010,solar,16.92,54.142022,-7.466166
4,All NI,44,Slieve Divena 2 Wind Farm,80710,wind,18.8,54.513816,-7.105354
4,All NI,45,Bann Road PV Farm,87900,solar,29.81,54.964249,-6.495024
4,All NI,46,Inishative Wind Farm,90210,wind,13.8,54.565526,-6.980634
4,All NI,47,Lough Road PV Farm,84011,solar,21.0,54.558824,-6.242561
4,All NI,48,Millar Farm PV,70311,solar,6.27,54.74301,-6.248491
4,All NI,49,Shantavany Scotch Wind Farm,80710,wind,16.1,54.491249,-7.093362
4,All NI,50,Altaveedan Wind Farm,87900,wind,18.0,55.077014,-6.263203
4,All NI,51,Crockdun Wind Farm,90210,wind,12.5,54.635372,-7.068539
4,All NI,52,Brockaghboy Windfarm,73500,wind,47.5,54.937243,-6.737928
4,All NI,53,Rathsherry Wind Farm,71011,wind,21.15,54.939792,-6.19884
4,All NI,54,Finvoy Road Solar Farm,87900,solar,5.209,54.961968,-6.489973
4,All NI,55,Maghaberry Solar Farm,84011,solar,20.43,54.512274,-6.173421
4,All NI,56,Elginny Hill Wind Farm,71011,wind,23.0,54.934388,-6.215012
4,All NI,57,Laurel Hill Road Solar Park,71511,solar,8.5,54.40097,-6.25725
4,All NI,58,Ballygarvey Road Solar Park,71011,solar,6.0,54.88442,-6.252785
4,All NI,59,Pollnalaght (Cornavarrow) Wind Farm,77210,wind,36.0,54.657951,-7.465262
4,All NI,60,Slieveglass Wind Farm,77210,wind,6.9,54.648031,-7.573285
4,All NI,61,Castlecraig Wind Farm,77210,wind,25.0,54.625717,-7.588645
4,All NI,62,Teiges Mountain Wind Farm,79010,wind,11.0,54.303914,-7.338447
4,All NI,63,Evishagaran Wind Farm,73500,wind,46.8,54.939608,-6.832506
4,All NI,64,Craiggore Wind Farm,73500,wind,23.5,54.994741,-6.804186
4,All NI,65,Ballykeel Wind Farm,83011,wind,16.1,54.854149,-5.912451
5,Kells - Rasharkin,2,Altahullion Wind Farm,83510,wind,26.0,54.962331,-7.033634
5,Kells - Rasharkin,8,Altahullion 2 Wind Farm,83510,wind,11.7,54.958781,-7.034578
5,Kells - Rasharkin,14,Garves Wind Farm,87900,wind,15.0,55.000707,-6.449401
5,Kells - Rasharkin,15,Gruig Wind Farm,87900,wind,25.0,55.025267,-6.255606
5,Kells - Rasharkin,25,Dunmore Wind Farm,75010,wind,21.0,55.097433,-6.820452
5,Kells - Rasharkin,26,Dunbeg Wind Farm,75010,wind,42.0,55.086762,-6.818699
5,Kells - Rasharkin,31,Cloonty Wind Farm,84511,wind,9.2,55.161057,-6.482488
5,Kells - Rasharkin,37,Glenbuck Wind Farm,87900,wind,9.2,54.982495,-6.427593
5,Kells - Rasharkin,39,Long Mountain Wind Farm,87900,wind,27.6,54.982585,-6.417873
5,Kells - Rasharkin,45,Bann Road PV Farm,87900,solar,29.81,54.964249,-6.495024
5,Kells - Rasharkin,50,Altaveedan Wind Farm,87900,wind,18.0,55.077014,-6.263203
5,Kells - Rasharkin,52,Brockaghboy Windfarm,73500,wind,47.5,54.937243,-6.737928
5,Kells - Rasharkin,54,Finvoy Road Solar Farm,87900,solar,5.209,54.961968,-6.489973
5,Kells - Rasharkin,63,Evishagaran Wind Farm,73500,wind,46.8,54.939608,-6.832506
5,Kells - Rasharkin,64,Craiggore Wind Farm,73500,wind,23.5,54.994741,-6.804186
