line,overload_pct_before_group_actions,worst_base_line_pct_of_runs,mean_initial_loading_pct,max_initial_loading_pct,thermal_limit_mw
81520-85020-1,0.0,0.0,15.357651529813893,36.22491915843304,710.0
77512-90310-3,0.0,0.0,8.565403477102302,34.05674942060782,186.0
87510-90210-1,0.0,0.0,7.82579728559114,33.55435363673539,186.0
70510-78512-2,0.0,0.0,18.259634590619335,32.19805086789849,143.0
81010-81011-1,0.0,0.0,16.04776215881783,31.33040307668292,295.0
81020-86220-1,0.0,0.0,16.911204720696897,29.790338193131753,710.0
70520-81020-2,0.0,0.0,16.92664096056667,28.981353950541056,710.0
70520-81520-1,0.0,0.0,5.065424168177249,27.154323210784003,710.0
85020-90320-1,0.0,0.0,9.001299782596115,26.586731943655877,710.0
85020-90320-2,0.0,0.0,9.001299782596115,26.586731943655877,710.0
90011-90012-1,0.0,0.0,6.691718360086803,26.222541295720525,568.0
70520-85020-1,0.0,0.0,7.025777376825138,24.371730845506743,710.0
90020-90320-1,0.0,0.0,5.989455250541445,21.661798665699834,710.0
90020-90320-2,0.0,0.0,5.989455250541445,21.661798665699834,710.0
74520-90020-1,0.0,0.0,4.515284247497468,20.647790996234086,710.0
72010-83011-1,0.0,0.0,7.3688195440643485,20.379746835443026,79.0
77511-77512-1,0.0,0.0,7.033262020111804,20.217258502062347,301.0
77511-77512-2,0.0,0.0,7.033262020111804,20.217258502062347,301.0
75521-85020-1,0.0,0.0,4.488056977063015,17.534824573797792,761.0
75522-85020-2,0.0,0.0,4.488056977063015,17.534824573797792,761.0
75520-75521-1,0.0,0.0,4.488056977063014,17.534824573797785,761.0
75520-75522-1,0.0,0.0,4.488056977063014,17.534824573797785,761.0
80710-87510-1,0.0,0.0,4.404451044638905,17.358301675695138,200.0
74520-81020-1,0.0,0.0,5.98092957157268,15.750058533898349,710.0
74520-81020-2,0.0,0.0,5.98092957157268,15.750058533898349,710.0
80511-81510-1,0.0,0.0,4.42657045922648,12.195121951219535,82.0
74511-74512-1,0.0,0.0,3.0957945107468623,8.688134416311517,1015.0
74511-74512-2,0.0,0.0,3.0957945107468623,8.688134416311517,1015.0
70311-81510-1,0.0,0.0,1.953680083879874,7.646341463414662,82.0
85510-87510-1,0.0,0.0,2.338876010660277,6.474820143884888,139.0
