point_name,point_type,connection_level,max_export_capacity_mw,latitude,longitude,mapped_bus,mapped_bus_kv,mapping_distance_km,mapping_quality,market_bucket,semo_dispatch_join_candidate
Cloonty Wind Farm,Wind farm,Distribution - 33 kV,9.2,55.161057,-6.482488,84511,110.0,11.131351929508128,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Tievenameenta Wind Farm,Wind farm,Distribution - 33 kV,34.5,54.644002,-7.747534,77210,110.0,18.478360231390965,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Ora More Wind Farm,Wind farm,Distribution - 33 kV,15.0,54.331522,-7.886121,79010,110.0,16.900512076133023,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Cregganconroe Wind Farm,Wind farm,Distribution - 33 kV,13.8,54.612192,-6.970614,90210,110.0,7.510965221920543,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Eglish Wind Farm,Wind farm,Distribution - 33 kV,15.0,54.891013,-7.214017,81810,110.0,10.155917337446155,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Eshmore Wind Farm,Wind farm,Distribution - 33 kV,7.05,54.539272,-6.983297,90210,110.0,0.6416227424433976,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Glenbuck Wind Farm,Wind farm,Distribution - 33 kV,9.2,54.982495,-6.427593,87900,110.0,7.482913301063282,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Gortfinbar Wind Farm,Wind farm,Distribution - 33 kV,15.0,54.544627,-7.027095,90210,110.0,2.949779388382873,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Long Mountain Wind Farm,Wind farm,Distribution - 33 kV,27.6,54.982585,-6.417873,87900,110.0,8.03667766112507,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Altamuskin Wind Farm,Wind farm,Distribution - 33 kV,14.1,54.518506,-7.106656,80710,110.0,3.7674945074683133,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Crockandun Wind Farm,Wind farm,Distribution - 33 kV,15.0,54.7413,-6.78232,75810,110.0,18.71446447340339,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Crockbaravally Wind Farm,Wind farm,Distribution - 33 kV,7.5,54.516883,-7.03685,90210,110.0,4.748084234212725,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Lisburn Solar Park (Ballinderry Road),Solar farm,Distribution - 33 kV,16.92,54.142022,-7.466166,70010,110.0,8.080976490584012,medium,solar,Yes for applicable dispatchable units; unit-name mapping required
Slieve Divena 2 Wind Farm,Wind farm,Distribution - 33 kV,18.8,54.513816,-7.105354,80710,110.0,3.274218355090564,medium,wind,Yes for applicable dispatchable units; unit-name mapping required
Bann Road PV Farm,Solar farm,Distribution - 33 kV,29.81,54.964249,-6.495024,87900,110.0,2.7499736424373404,high,solar,Yes for applicable dispatchable units; unit-name mapping required
Inishative Wind Farm,Wind farm,Distribution - 33 kV,13.8,54.565526,-6.980634,90210,110.0,2.2903926507414942,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Lough Road PV Farm,Solar farm,Distribution - 33 kV,21.0,54.558824,-6.242561,84011,110.0,10.671405097703259,low,solar,Yes for applicable dispatchable units; unit-name mapping required
Millar Farm PV,Solar farm,Distribution - 33 kV,6.27,54.74301,-6.248491,70311,110.0,2.4576783063795107,high,solar,Yes for applicable dispatchable units; unit-name mapping required
Shantavany Scotch Wind Farm,Wind farm,Distribution - 33 kV,16.1,54.491249,-7.093362,80710,110.0,1.6757580923075408,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Altaveedan Wind Farm,Wind farm,Distribution - 33 kV,18.0,55.077014,-6.263203,87900,110.0,22.119535812846834,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Crockdun Wind Farm,Wind farm,Distribution - 33 kV,12.5,54.635372,-7.068539,90210,110.0,11.518544459111562,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Brockaghboy Windfarm,Wind farm,Transmission - 110 kV,47.5,54.937243,-6.737928,73500,110.0,0.022025929179486647,high,wind,Yes for applicable dispatchable units; unit-name mapping required
Rathsherry Wind Farm,Wind farm,Distribution - 33 kV,21.15,54.939792,-6.19884,71011,110.0,11.297028135764931,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Finvoy Road Solar Farm,Solar farm,Distribution - 33 kV,5.209,54.961968,-6.489973,87900,110.0,2.8957208272572474,high,solar,Yes for applicable dispatchable units; unit-name mapping required
Maghaberry Solar Farm,Solar farm,Distribution - 33 kV,20.43,54.512274,-6.173421,84011,110.0,5.448790632458476,medium,solar,Yes for applicable dispatchable units; unit-name mapping required
Elginny Hill Wind Farm,Wind farm,Distribution - 33 kV,23.0,54.934388,-6.215012,71011,110.0,10.284789723832148,low,wind,Yes for applicable dispatchable units; unit-name mapping required
Laurel Hill Road Solar Park,Solar farm,Distribution - 33 kV,8.5,54.40097,-6.25725,71511,110.0,6.3809968145105005,medium,solar,Yes for applicable dispatchable units; unit-name mapping required
