name,psse_name,station,v_nom,x,y,geocode_method,reason
75611,CULMORE_RD,CULMORE_RD,110.0,0.0,0.0,,"coordinates are (0, 0)"
76513,DONE1D,DONE1D,110.0,0.0,0.0,,"coordinates are (0, 0)"
77010,DRUM1-,DRUM1,110.0,0.0,0.0,,"coordinates are (0, 0)"
77211,CURR_WF,CURR_WF,110.0,0.0,0.0,,"coordinates are (0, 0)"
77212,WIND_PT,WIND_PT,110.0,0.0,0.0,,"coordinates are (0, 0)"
79510,CAM,CAM,110.0,0.0,0.0,,"coordinates are (0, 0)"
80511,GLEN1A,GLEN1,110.0,0.0,0.0,,"coordinates are (0, 0)"
80512,GLEN1B,GLEN1,110.0,0.0,0.0,,"coordinates are (0, 0)"
81031,COLINGLEN_BE,COLINGLEN_BE,110.0,0.0,0.0,,"coordinates are (0, 0)"
81512,KELL_WIND2,KELL_WIND2,110.0,0.0,0.0,,"coordinates are (0, 0)"
81810,KILL1-CL,KILL1-CL,110.0,0.0,0.0,,"coordinates are (0, 0)"
85510,MAKL1-CL,MAKL1-CL,110.0,0.0,0.0,,"coordinates are (0, 0)"
86221,SCOTLAND,SCOTLAND,275.0,0.0,0.0,,"coordinates are (0, 0)"
87900,RASHARK1,RASHARK1,110.0,0.0,0.0,,"coordinates are (0, 0)"
87901,T_GOWANGIS,T_GOWANGIS,110.0,0.0,0.0,,"coordinates are (0, 0)"
89210,SKRK1-,SKRK1,110.0,0.0,0.0,,"coordinates are (0, 0)"
90210,TREM,TREM,110.0,0.0,0.0,,"coordinates are (0, 0)"
GB_EWIC,EWIC far terminal,EWIC,260.0,0.0,0.0,,"coordinates are (0, 0)"
GB_GREENLINK,Greenlink far terminal,GREENLINK,150.0,0.0,0.0,,"coordinates are (0, 0)"
star:1072-1041-10421-2,star of 1072-1041-10421-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1122-1121-11221-1,star of 1122-1121-11221-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1122-1121-11222-2,star of 1122-1121-11222-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1212-1211-12121-1,star of 1212-1211-12121-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1212-12111-12122-2,star of 1212-12111-12122-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1244-1243-12402-1,star of 1244-1243-12402-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:1472-1471-14721-1,star of 1472-1471-14721-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1472-1471-14722-2,star of 1472-1471-14722-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1474-1472-14723-1,star of 1474-1472-14723-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:1602-1601-16022-1,star of 1602-1601-16022-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1602-16011-16021-1,star of 1602-16011-16021-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1642-1641-16421-1,star of 1642-1641-16421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1642-1641-16422-2,star of 1642-1641-16422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1642-16411-16424-4,star of 1642-16411-16424-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1742-1741-17421-1,star of 1742-1741-17421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1742-1741-17422-2,star of 1742-1741-17422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1742-17411-17423-3,star of 1742-17411-17423-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:1742-17411-17424-4,star of 1742-17411-17424-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2002-2001-20021-1,star of 2002-2001-20021-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2042-2041-20421-1,star of 2042-2041-20421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2042-20416-20424-4,star of 2042-20416-20424-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2052-2041-20422-2,star of 2052-2041-20422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2204-2202-22021-1,star of 2204-2202-22021-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:2204-2202-22022-2,star of 2204-2202-22022-2,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:2204-2212-22023-3,star of 2204-2212-22023-3,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:2522-2521-25221-1,star of 2522-2521-25221-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2522-2521-25222-2,star of 2522-2521-25222-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2562-2561-25621-1,star of 2562-2561-25621-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2562-2571-25622-2,star of 2562-2571-25622-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2563-2561-25624-4,star of 2563-2561-25624-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2563-2571-25625-5,star of 2563-2571-25625-5,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2742-2741-27421-1,star of 2742-2741-27421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2742-2741-27422-2,star of 2742-2741-27422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:2842-2841-28421-1,star of 2842-2841-28421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3082-3081-30822-2,star of 3082-3081-30822-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3082-3091-30824-4,star of 3082-3091-30824-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:30820-3081-30821-1,star of 30820-3081-30821-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:30820-3091-30826-3,star of 30820-3091-30826-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3192-3191-31922-1,star of 3192-3191-31922-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3192-31911-31927-2,star of 3192-31911-31927-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3202-3201-32021-1,star of 3202-3201-32021-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3203-3209-32022-2,star of 3203-3209-32022-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3204-3202-32081-1,star of 3204-3202-32081-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:3282-3281-32823-3,star of 3282-3281-32823-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3282-32810-32824-4,star of 3282-32810-32824-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3332-3331-33321-1,star of 3332-3331-33321-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3332-3331-33323-3,star of 3332-3331-33323-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3342-3341-33421-1,star of 3342-3341-33421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3342-3341-33422-2,star of 3342-3341-33422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3462-3461-34621-1,star of 3462-3461-34621-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3462-3461-34622-2,star of 3462-3461-34622-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3464-3462-34641-1,star of 3464-3462-34641-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:3472-3471-34721-1,star of 3472-3471-34721-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3472-3471-34722-2,star of 3472-3471-34722-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3472-3471-34723-3,star of 3472-3471-34723-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3472-3471-34724-4,star of 3472-3471-34724-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3522-3521-35221-1,star of 3522-3521-35221-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3522-3521-35223-3,star of 3522-3521-35223-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3522-35211-35222-2,star of 3522-35211-35222-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3522-35211-35224-4,star of 3522-35211-35224-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3522-35231-35236-1,star of 3522-35231-35236-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3522-35231-35238-3,star of 3522-35231-35238-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3522-35232-35237-2,star of 3522-35232-35237-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3554-3550-35542-2,star of 3554-3550-35542-2,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:3554-3551-35541-1,star of 3554-3551-35541-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:3642-3641-36421-1,star of 3642-3641-36421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3842-3851-38423-3,star of 3842-3851-38423-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3842-3851-38424-4,star of 3842-3851-38424-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3852-3841-38421-1,star of 3852-3841-38421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3852-3841-38422-2,star of 3852-3841-38422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3934-3942-39402-1,star of 3934-3942-39402-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:3940-3941-39423-1,star of 3940-3941-39423-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:3954-3942-39421-2,star of 3954-3942-39421-2,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:4384-4382-43821-1,star of 4384-4382-43821-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:4472-4461-44623-3,star of 4472-4461-44623-3,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:4472-4471-44624-4,star of 4472-4471-44624-4,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:4664-4662-46621-1,star of 4664-4662-46621-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:4664-4662-46622-2,star of 4664-4662-46622-2,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:4722-4721-47221-1,star of 4722-4721-47221-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:4722-47210-47222-2,star of 4722-47210-47222-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:4942-4941-49422-2,star of 4942-4941-49422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:4943-4941-49421-1,star of 4943-4941-49421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:5042-5041-50421-1,star of 5042-5041-50421-1,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:5142-51410-51422-2,star of 5142-51410-51422-2,STAR,220.0,0.0,0.0,,"coordinates are (0, 0)"
star:5464-5462-54621-1,star of 5464-5462-54621-1,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:5464-5462-54624-4,star of 5464-5462-54624-4,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:5464-54622-54623-2,star of 5464-54622-54623-2,STAR,380.0,0.0,0.0,,"coordinates are (0, 0)"
star:70510-70520-70561-1,star of 70510-70520-70561-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:70510-70520-70562-1,star of 70510-70520-70562-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:74511-74520-74562-1,star of 74511-74520-74562-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:74511-74520-74564-1,star of 74511-74520-74564-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:74512-74520-74563-1,star of 74512-74520-74563-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:75510-75520-75561-1,star of 75510-75520-75561-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:75511-75520-75562-1,star of 75511-75520-75562-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:81010-81020-81061-1,star of 81010-81020-81061-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:81010-81020-81062-1,star of 81010-81020-81062-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:81011-81020-81063-1,star of 81011-81020-81063-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:81510-81520-81561-1,star of 81510-81520-81561-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:81510-81520-81562-1,star of 81510-81520-81562-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:90011-90020-90061-1,star of 90011-90020-90061-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:90011-90020-90062-1,star of 90011-90020-90062-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:90012-90020-90063-1,star of 90012-90020-90063-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:90310-90320-90361-1,star of 90310-90320-90361-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:90310-90320-90362-1,star of 90310-90320-90362-1,STAR,110.0,0.0,0.0,,"coordinates are (0, 0)"
star:90420-90440-90461-1,star of 90420-90440-90461-1,STAR,275.0,0.0,0.0,,"coordinates are (0, 0)"
star:90420-90440-90462-1,star of 90420-90440-90462-1,STAR,275.0,0.0,0.0,,"coordinates are (0, 0)"
star:90420-90440-90463-1,star of 90420-90440-90463-1,STAR,275.0,0.0,0.0,,"coordinates are (0, 0)"
