name,v_nom,psse_name,station,jurisdiction,geocode_method
star:4664-4662-46621-1,380.0,star of 4664-4662-46621-1,STAR,--,
star:4664-4662-46622-2,380.0,star of 4664-4662-46622-2,STAR,--,
star:4722-4721-47221-1,220.0,star of 4722-4721-47221-1,STAR,--,
star:4722-47210-47222-2,220.0,star of 4722-47210-47222-2,STAR,--,
star:4942-4941-49422-2,220.0,star of 4942-4941-49422-2,STAR,--,
star:4943-4941-49421-1,220.0,star of 4943-4941-49421-1,STAR,--,
star:5042-5041-50421-1,220.0,star of 5042-5041-50421-1,STAR,--,
star:5142-51410-51422-2,220.0,star of 5142-51410-51422-2,STAR,--,
star:5464-5462-54621-1,380.0,star of 5464-5462-54621-1,STAR,--,
star:5464-5462-54624-4,380.0,star of 5464-5462-54624-4,STAR,--,
star:5464-54622-54623-2,380.0,star of 5464-54622-54623-2,STAR,--,
star:70510-70520-70561-1,110.0,star of 70510-70520-70561-1,STAR,--,
star:70510-70520-70562-1,110.0,star of 70510-70520-70562-1,STAR,--,
star:74511-74520-74562-1,110.0,star of 74511-74520-74562-1,STAR,--,
star:74511-74520-74564-1,110.0,star of 74511-74520-74564-1,STAR,--,
star:74512-74520-74563-1,110.0,star of 74512-74520-74563-1,STAR,--,
star:75510-75520-75561-1,110.0,star of 75510-75520-75561-1,STAR,--,
star:75511-75520-75562-1,110.0,star of 75511-75520-75562-1,STAR,--,
star:81010-81020-81061-1,110.0,star of 81010-81020-81061-1,STAR,--,
star:81010-81020-81062-1,110.0,star of 81010-81020-81062-1,STAR,--,
star:81011-81020-81063-1,110.0,star of 81011-81020-81063-1,STAR,--,
star:81510-81520-81561-1,110.0,star of 81510-81520-81561-1,STAR,--,
star:81510-81520-81562-1,110.0,star of 81510-81520-81562-1,STAR,--,
star:90011-90020-90061-1,110.0,star of 90011-90020-90061-1,STAR,--,
star:90011-90020-90062-1,110.0,star of 90011-90020-90062-1,STAR,--,
star:90012-90020-90063-1,110.0,star of 90012-90020-90063-1,STAR,--,
star:90310-90320-90361-1,110.0,star of 90310-90320-90361-1,STAR,--,
star:90310-90320-90362-1,110.0,star of 90310-90320-90362-1,STAR,--,
star:90420-90440-90461-1,275.0,star of 90420-90440-90461-1,STAR,--,
star:90420-90440-90462-1,275.0,star of 90420-90440-90462-1,STAR,--,
star:90420-90440-90463-1,275.0,star of 90420-90440-90463-1,STAR,--,
