eval_index,temperature,current_dd,best_dd,candidate_dd,delta_dd,accepted,best_update,swap_i,swap_j
1002,0.03545773121928,8.213768404226176,8.213768404226176,8.213768404226176,0.0,True,False,87,184
1003,0.03542553356642338,8.166642344630814,8.166642344630814,8.166642344630814,-0.04712605959536198,True,True,170,7
1004,0.03539336515088155,8.168428335366988,8.166642344630814,8.168428335366988,0.0017859907361739147,True,False,51,136
1005,0.03536122594610536,8.168428335366988,8.166642344630814,inf,inf,False,False,25,225
1006,0.03532911592556975,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,232,40
1007,0.035297035062773756,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,46,78
1008,0.035264983331240486,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,73,98
1009,0.03523296070451708,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,36,55
1010,0.035200967156174705,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,226,120
1011,0.03516900265980852,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,118,203
1012,0.03513706718903766,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,193,53
1013,0.03510516071750524,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,83,60
1014,0.035073283218878266,8.168428335366988,8.166642344630814,8.168428335366988,0.0,True,False,153,139
1015,0.035041434666847684,8.174592023299613,8.166642344630814,8.174592023299613,0.00616368793262545,True,False,2,237
1016,0.03500961503512834,8.174592023299613,8.166642344630814,inf,inf,False,False,81,153
1017,0.03497782429745892,8.174592023299613,8.166642344630814,inf,inf,False,False,173,206
1018,0.03494606242760197,8.174592023299613,8.166642344630814,8.174592023299613,0.0,True,False,96,223
1019,0.034914329399343864,8.174592023299613,8.166642344630814,8.174592023299613,0.0,True,False,90,126
1020,0.03488262518649477,8.174592023299613,8.166642344630814,8.174592023299613,0.0,True,False,53,72
1021,0.034850949762888654,8.174592023299613,8.166642344630814,8.174592023299613,0.0,True,False,57,236
1022,0.03481930310238324,8.174107602429281,8.166642344630814,8.174107602429281,-0.0004844208703325137,True,False,220,217
1023,0.03478768517885996,8.174107602429281,8.166642344630814,8.174107602429281,0.0,True,False,139,191
1024,0.03475609596622401,8.165985780556488,8.165985780556488,8.165985780556488,-0.008121821872792978,True,True,9,77
1025,0.034724535438404244,8.167477302922949,8.165985780556488,8.167477302922949,0.0014915223664608845,True,False,152,131
1026,0.034693003569353204,8.167477302922949,8.165985780556488,8.167477302922949,0.0,True,False,41,121
1027,0.034661500333047095,8.170680170142596,8.165985780556488,8.170680170142596,0.003202867219647132,True,False,99,97
1028,0.03463002570348573,8.170922274529502,8.165985780556488,8.170922274529502,0.00024210438690630554,True,False,193,80
1029,0.03459857965469256,8.170984179772704,8.165985780556488,8.170984179772704,6.190524320182078e-05,True,False,126,30
1030,0.0345671621607146,8.170984179772704,8.165985780556488,inf,inf,False,False,127,204
1031,0.03453577319562244,8.170984179772704,8.165985780556488,8.170984179772704,0.0,True,False,236,107
1032,0.034504412733510216,8.170984179772704,8.165985780556488,inf,inf,False,False,25,182
1033,0.03447308074849558,8.170984179772704,8.165985780556488,8.170984179772704,0.0,True,False,236,132
1034,0.034441777214719714,8.170984179772704,8.165985780556488,8.170984179772704,0.0,True,False,234,75
